,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,100.0,0.5,2.0,0.26,0.53,0.46,0.53,0.46,1.0,0.75,0.75,0.335
1,2.0,100.0,0.5,3.0,0.29,0.53,0.48,1.0,0.8,1.0,0.8,0.8,0.065
2,2.0,100.0,0.5,4.0,0.29,0.62,0.59,1.0,0.93,1.0,0.93,0.93,0.015
3,2.0,100.0,0.5,5.0,0.28,0.65,0.65,1.0,0.97,1.0,0.97,0.97,0.0
4,2.0,100.0,0.5,6.0,0.44,0.78,0.78,1.0,0.97,1.0,0.97,0.97,0.005
5,2.0,100.0,0.5,7.0,0.4,0.62,0.62,1.0,1.0,1.0,1.0,1.0,0.0
6,2.0,100.0,0.5,8.0,0.43,0.67,0.67,1.0,1.0,1.0,1.0,1.0,0.0
