,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,100.0,50.0,5.0,0.0,0.39,0.21,1.0,0.45,1.0,0.45,0.45,0.0
1,2.0,100.0,100.0,5.0,0.11,0.56,0.5,1.0,0.79,1.0,0.79,0.79,0.0
2,2.0,100.0,150.0,5.0,0.16,0.64,0.63,1.0,0.87,1.0,0.87,0.87,0.0
3,2.0,100.0,200.0,5.0,0.4,0.8,0.76,1.0,0.9,1.0,0.9,0.9,0.0
4,2.0,100.0,250.0,5.0,0.5,0.75,0.72,1.0,0.93,1.0,0.93,0.93,0.0
5,2.0,100.0,300.0,5.0,0.59,0.74,0.73,1.0,0.93,1.0,0.93,0.93,0.0
6,2.0,100.0,350.0,5.0,0.63,0.78,0.77,1.0,0.98,1.0,0.98,0.98,0.0
7,2.0,100.0,400.0,5.0,0.53,0.83,0.81,1.0,0.95,1.0,0.95,0.95,0.0
8,2.0,100.0,450.0,5.0,0.6,0.89,0.89,1.0,1.0,1.0,1.0,1.0,0.0
