,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,100.0,0.1,5.0,0.0,0.0,0.0,1.0,0.46,1.0,0.46,0.46,0.02
1,2.0,100.0,0.2,5.0,0.0,0.0,0.0,1.0,0.53,1.0,0.53,0.53,0.03
2,2.0,100.0,0.3,5.0,0.0,0.0,0.0,1.0,0.49,1.0,0.49,0.49,0.03
3,2.0,100.0,0.4,5.0,0.0,0.0,0.0,1.0,0.51,1.0,0.51,0.51,0.01
4,2.0,100.0,0.5,5.0,0.32,0.62,0.61,1.0,0.97,1.0,0.97,0.97,0.0
5,2.0,100.0,0.6,5.0,0.41,0.67,0.66,1.0,0.97,1.0,0.97,0.97,0.01
6,2.0,100.0,0.7,5.0,0.36,0.65,0.65,1.0,0.98,1.0,0.98,0.98,0.0
7,2.0,100.0,0.8,5.0,0.28,0.65,0.63,1.0,0.98,1.0,0.98,0.98,0.02
8,2.0,100.0,0.9,5.0,0.24,0.63,0.62,1.0,0.96,1.0,0.96,0.96,0.005
9,2.0,100.0,1.0,5.0,0.59,0.74,0.74,1.0,0.98,1.0,0.98,0.98,0.0
