,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,100.0,0.5,2.0,0.1,0.37,0.12,0.37,0.12,1.0,0.29,0.29,0.185
1,2.0,100.0,0.5,3.0,0.19,0.61,0.41,1.0,0.56,1.0,0.56,0.56,0.01
2,2.0,100.0,0.5,4.0,0.17,0.64,0.56,1.0,0.79,1.0,0.79,0.79,0.0
3,2.0,100.0,0.5,5.0,0.19,0.77,0.68,1.0,0.88,1.0,0.88,0.88,0.0
4,2.0,100.0,0.5,6.0,0.22,0.81,0.78,1.0,0.97,1.0,0.97,0.97,0.0
5,2.0,100.0,0.5,7.0,0.19,0.84,0.83,1.0,0.96,1.0,0.96,0.96,0.0
6,2.0,100.0,0.5,8.0,0.26,0.86,0.85,1.0,0.99,1.0,0.99,0.99,0.0
